id,feedback,tag,label
0,bugun 2 velosipod goturdum ikisinin de tormozu islemir,,technical_support
1,sol pedalda problem var bu veloda,,technical_support
2,Oturacağın   alt-ön tərəfi çıxıb dəyişilməlidir,Other,technical_support
3,velospied kilidə düşmürdü,,technical_support
4,Gprs islemir anbara getmelidi,Electrical system,technical_support
5,Rolu əyri gedir təkəri əyri,Handlebar,technical_support
6,səs salırdı...sepin üstündəki plasmas aralanmisdi,,technical_support
7,Parking zonasindayam lakin gedişi bitire bilmirəm,Kickstand,customer_support
8,"ужасно глучит приложение, не могу спокойно закрыть транспорт уже который день",,customer_support
9,oturacaq sabit qalmir,,technical_support
10,Batere problemi verdi və işləmədi,Battery,technical_support
11,one love 🧡,,other
12,Əyləc işləmid,Brakes,technical_support
13,sükanı ağır dönürdü,,technical_support
14,цепь трудный,,technical_support
15,Velo aktivləşmir. Ekranda qara qalır mator işləmir,Other,technical_support
16,xəritə yoxdu,,customer_support
17,İŞLƏMİR 4 gündü gəlib nəzarət olunmur,Handlebar,technical_support
18,Biture bulmrem gedusu,QR code,customer_support
19,bu bu sürüşdə olan veıosiped çox ağır dartırdı nasazllğı var,,technical_support
20,islemir elektron,,technical_support
21,bad nor working,,technical_support
22,The transmission 2 is loose and don’t keep the gear.,Gears/transmission,technical_support
23,Səs edir sürəndə,,technical_support
24,vekosipedin sepi qiriqdir. xahis edirem gedisimi geri odeyin,,customer_support
25,👍👍👍👍👍,,other
26,tustuledi,Ignition,technical_support
27,Sükanı dibdən laxlayır sürüş hissiyatı çox pisdir.,Handlebar,technical_support
28,scooterleri coxaldin ve zaryadkali olsun,,other
29,bu velosipedin də kilidi açılmır gediş başlamasına rəğmən,Other,technical_support
30,Bəzən sürfüyüm yerdə sürət qəflətən azalırdı (sürət limiti olduğu ərazidə olmasam belə).,,technical_support
31,scootüein dayaq ayaqlarından biri qırılıb paek və pause zamanı çox çətinlik yaşadım,,technical_support
32,.bbg,,other
33,qosulmadi,,technical_support
34,"Əlaaa, çox sağ olun. skuter eziyyetsizdi",,other
35,ajijer,,other
36,velosipedlər vaxt aşırı yuyulub təmizlənsə gözəl olar,,other
37,salam birincisi bonuda gore cox sagolun.Ikincisi narazi qaldim.Bos bosuna bonus getdi menim.Men bunu goturdum yazib 3 km mesafesi qalib.700 metr olmadi zaretkasi qutardi men butun yolu dasiya dasiya aprmisam.Niye men ele eziyyete dusmeliyem.Ilk defe telesi,,customer_support
38,kilidə düşmür. Sistemdə də açıq göstərir,Other,customer_support
39,The electric motor not working. Completely manual.,Dirty,technical_support
40,тормозе не работают адекватно,,technical_support
41,Проблема с педалью.,,technical_support
42,Battery died earlier than the shown range. Scooter is OFF.,Battery,technical_support
43,"need refund, bike didn't work properly",,customer_support
44,siqnal ləng işləyir,,technical_support
45,ƏLA!,,other
46,"xarab velosipeddir, getmirdi",,technical_support
47,Səbət qiriq anbara,Other,technical_support
48,Gedişi bitirmək mümkün olmur,Other,customer_support
49,bisikletin yanindayim ama uzaksin diyor kilitleyemiyorum,Other,customer_support
50,"Salam, qrup gəzintisi edərkən velosipedin şarjı bitdi. Əl ilə aparmaq istədik biraz aparsaqda sooradan təkərlər kilitləndi. Park zonasınada uzaq idik apara bilmədik. Məcburən burda qoyub getməli olduq.",Other,customer_support
51,skuter yerindən tərpənmədi yalandan vaxtım getdi,,customer_support
52,oturacaq tenzimleyen islemir. 2ci velodu,,technical_support
53,surmek üçün yol yoxdur,,other
54,biraz çətin oldu,,other
55,zaryatka yigmir,Other,technical_support
56,agsjjs,,other
57,Heç sürə bilmədim ki,Other,customer_support
58,excelent,,other
59,Sol qrips yoxdur,Other,technical_support
60,Электро мотор не работает!!!,,technical_support
61,"right brake not working, left brake is weak",,technical_support
62,"oturacaq narahatdi. cox ses cixardir, cox silkelenir",,technical_support
63,"velosipedin əyləclərində problem var , və siqnali işləmir",,technical_support
64,hem kilide hem de veloya baxış z.o,Other,technical_support
65,yaksi,,other
66,heş sürə bilmədim kilidi açılmadı,,technical_support
67,Hərşey Əladı.Çox saǧolun,,other
68,Блокировка переднего колеса,Electrical system,technical_support
69,cırıldayan pedal,,technical_support
70,sağ əyləc tutmur,,technical_support
71,Ön teker tormuz qırılıb,Other,technical_support
72,сиденье сломвно,,technical_support
73,MÖHTƏŞƏM!👍👍👍,,other
74,велосипед барахлит и в руле есть ужасный люфт,,technical_support
75,Təkər əyilib,,technical_support
76,Xəta 04 \nBatareyalıq deyil dəyişdim,Other,technical_support
77,çox süper idi,,other
78,payback my money not working,,customer_support
79,əyləclər problemli idi,,technical_support
80,Suret oturucusunun bloku qirilib anbara,Other,technical_support
81,Tormuz sistemində problem var sürdükdə və tormoz verdikdə sanki skuter harasa sürtür. Sol stop əyləci ümumiyyetlə işləmir.,Gears/transmission,technical_support
82,Bloku acilmir,Other,technical_support
83,rolu əyridir düzəldin,,technical_support
84,ok 90,,other
85,parking çox uzaqdadır,,other
86,Velo açılmır kilidə düşür,Other,technical_support
87,Batareya əvvəl sönür,,technical_support
88,"я не водитель велосипед, кто то зашел с моего аккаунта",,customer_support
89,Oturacaqi eyilib,Saddle,technical_support
90,ochen dorogo i ne vozmojno otkluchat. programa ochen dolgo dumaet chtobi otkluchit,,customer_support
91,pedalı əyridi,,technical_support
92,Velosipedin 14km zaryatkasi var ve aniden dayandi,Battery,customer_support
93,У самоката сломанной геопозиция и газ,Throttle,technical_support
94,no proper bike ways,,other
95,əyləc sistemi tam nasazdir!,,technical_support
96,pedallar islemirdi,,technical_support
97,Xarabdi anbara getmelidi,Electrical system,technical_support
98,Salam telefon qoyma yeri çox sallanır,Other,technical_support
99,Rol yerindən qaçıb,Handlebar,technical_support
100,super👍🏻,,other
101,çox pis hər dəfə yazıram amma deyəsən baxmrsınız. velosipedin sol pedalı boşdu. bu neçəmci dəfədir bqşıma gəlir yolda çıxdı pedal. zəhmət olmasa velosipedlərin işlədiyindən əmin olduqdan sonra servizə buraxın!!,,technical_support
102,Vikasi bosdur,Vandalism,technical_support
103,qəzalıdır,,technical_support
104,Dəyandı durduğ yerdə,Battery,technical_support
105,pedalı qırıqdı,,technical_support
106,так мало мест где можно кататься,,other
107,sükan düzgün işləmir,,technical_support
108,"Sağ Tirmizi işləmir. / Təşəkkürlər, APAR!",,technical_support
109,Xəta yarandı bağlayarsınız zəhmət olmasa,Handlebar,customer_support
110,pul çıxdı amma işləmir,,customer_support
111,Battery deyiwilmelidir,Other,technical_support
112,the first which is very good,,other
113,bu artıq müştəri soymaqdır sizin şirkəylə bağlı məhkəməy müraciət edəcəm,,customer_support
114,удары во время езды,,technical_support
115,problem,,customer_support
116,sadəcə rahat deyil,,other
117,Велосипеды на 100% круче самокатов,,other
118,steering wheel is a little bit with the wrong angle,,technical_support
119,didn't start,,technical_support
120,parklanma axtaran zaman harda olduğumu göstərmədiyi üçün gec tapdım,,other
121,Matoru sürüldükdə hərəkət edir.xalasdoy buraxan kimi səs edir,Motor,technical_support
122,Nə rabotayet avtomat,Electrical system,technical_support
123,işıəmir,,technical_support
124,Sidemye tenzimleyicisi ishlemir,,technical_support
125,Orta dayaq qırılıb,Kickstand,technical_support
126,"velosipedin kilidi açılmadı, işlədə bilmədim",,technical_support
127,köhnəlib,,technical_support
128,tormoz basanda tam dayanir sonra gec hereket edir,,technical_support
129,тяжело крутить педали,,technical_support
130,sol pedalda əyrilik var,,technical_support
131,сломано переключение передач,,technical_support
132,əyləclər əsasəndə ön əyləc heç işləmir sükanı normal dönmür təkərində yırtıq var və cızıqları çoxdur,Handlebar,technical_support
133,"скорость странно реагировала , потом вообще как будто не ехал",,technical_support
134,Cox yaxşıdı hem Bert hemde yaxsi gedir amma biraz problem var güzgü yoxdur ve arxa hissesi görmek olmur ve sarı ışığlar olsa daha yaxşıdı hem abtomobiler göre bilerki hara gedirem zəhmət olmasa bunu etseniz sevinerem,,other
135,Kilid əyilib .bağlanmır,Other,customer_support
136,Velesibet aktilfesib amma surmek olmur,Other,customer_support
137,Elektrik problem. Velo açılmır,Other,technical_support
